天融信,开始转云了,实习3.5k，白嫖重保，顶不住啊，,要去之前问问有没有hc，不然就是快乐外包,广州工资低，年终奖足，有的中级8k,,实习白干一个月都是正常的（真的白干，钱也不发），建议别去,,,,,,,,,,,,,,,,,,,,
米好信安,交不完的wp，毫不符合的题意,CTF中的一股泥石流，黑幕无穷      <哈哈哈哈哈哈,一坨,   =COKE,垃圾公司专坑学生,,,,,,,,,,,,,,,,,,,,,
赛博昆仑,天才的殿堂,听说不好转正,目前公司财务状况如何？,常年招聘，要求看着挺高,,,,,,,,,,,,,,,,,,,,,,
国誉网安,苕皮哥的待遇挺好的,苕皮是怎么做到2.7k的,苕皮干了三年hw你说怎么2.7的,羡慕,,,是不是这家公司的皇亲国戚啊,苕皮是真好吃，我也想吃苕皮,领导的家,苕皮哥虽然不行，但是国誉给钱确实顶。苕皮哥出名了，但是国誉出名是因为苕皮哥，而不是像某些公司一样“拖欠尾款”出名的。,,,,,,,,,,,,,,,,
安络科技,变着法嘎嘎降薪24年,现在是不是还靠老板一个人拉业务啊,,,,,,,,,,,,,,,,,,,,,,,,
奇安信,公司一共一万人，去年裁员4000人  催牛逼好吧，没那么多,"公积金已掉到5
现在还欠我们公司项目钱",工作压力极大，钱还少,现在还欠我们公司项目钱,"年终奖没消息
，就连过节了礼物都不送一个",为啥不把我网安一哥放到最上面,为啥不把我网安一哥放到最上面,< 外包比正编地位高 优服还有年终和福利 正编啥也没,为啥不把我网安一哥放到最上面,优服还有工号呢，真外包啥也没有,卡学历,公司应该是有问题了，给他结项目款，项目经理一点不着急,,,,,,,,,,,,,
深圳国华网安,这家公司没人吗？,,,,,,,,,,,,,,,,,,,,,,,,,
飞塔,360度吊打国内这帮防火墙,没事 哥还是能挖,怼着ssslvpn功能去挖吧,闲鱼淘了个2手，vpn好用的不要不要的,,,,,,,,,,,,,,,,,,,,,,
成都汉度科技,这家公司只剩老板了吗？,,,,,,,,,,,,,,,,,,,,,,,,,
任子行,喜欢白嫖应届生,基本上都是不懂安全的，也没什么氛围，薪资贼低,,,,,,,,,,,,,,,,,,,,,,,,
360安全,流氓中的流氓,<细说 不是一哥他爹吗,老周都成网红了,Q,没啥大缺点 裁员也是赔偿到位 今年还没发年终奖,杭州360咋样,,,,,,,,,,,,,,,,,,,,
默安科技,蜜罐之后没什么新闻了，总是在追新，比如云计算之后开始看新能源汽车领域了,<追鸡毛新 都是噱头 进来都是拧螺丝 <确实在追新，只不过观念很好，产品跟不上啊,听说实现自动化渗透了，不知道效果咋样,,,,,,,,,,,,,,,,,,,,,,,
竞远安全,听说工资低 ,一开始还说招大专，骗完简历说不要,广州工资真的低 等保7k,大专当场陨落,钱给不到位，活比驴还多,,,,,,,,,,,,,,,,,,,,,
深圳网安,别建了不说话啊！说话！,"工资低到生活困难，老板只留高层，底层员工要走就走，走了又招一批应届生割韭菜

敢准时下班吗",啥都暗箱操作 工资又低 同行业最低没有之一,敢准时下班你就....,工资低的可怜，每天加加班不让走,准时下班就找你谈话，一年换一批人，领导形式主义,总部某部门有几个狗腿子，什么事情都做不好，但是很会pua,,,,,,,,,,,,,,,,,,,
微步,👂,0day计划就是个中间商。自己收完产品赋能&&公网利用。再上交其他收洞的拿钱。中间商赚差价白嫖产品规则,微步现在威胁情报营收怎么样啊？,,,,,,,,,,,,,,,,,,,,,,,
润成安全,这家公司破防了吗？,垃圾!,,,,,,,,,,,,,,,,,,,,,,,,
御之安,,这家公司人呢？,,,,,,,,,,,,,,,,,,,,,,,,
捷润数码,这家公司人呢？各地办事处都在撤，据我了解已经被处罚两次了，内部文档写的比等保报告多,,,,,,,,,,,,,,,,,,,,,,,,,
无糖信息,666,<o_0尊嘟假嘟,好像TangGo社群里面可以看到运营小姐姐的照片, 有黑丝？ 有黑丝？ 有黑丝？,我直接去看黑丝,看看黑丝,打击犯罪这块，他们情报能力是很吊的,真有黑丝？,说是有黑丝，网站都不丢粗来，吓唬谁,,,,,,,,,,,,,,,,,
联想安全,联想这么好？都没人？,联想SRC 谁挖谁知道,,,,,,,,,,,,,,,,,,,,,,,,
小米安全,上班如上坟,小米天下第一,小米车联网怎么样？,,,,,,,,,,,,,,,,,,,,,,,
久安科技,"每天工作是看海贼王 被老板抓到了也不会被骂，让你躺着好好看，适合摸鱼划水 工作强度低

每天工作是看海贼王 被老板抓到了也不会被骂，让你躺着好好看，适合摸鱼划水 工作强度低 初创公司 老板也是技术出身 没有什么歧视 找不到网址的兄弟在这 jiuansec.com 在里面待了半年 出来之后精神多了 没有996福报 每天早9晚5 不加班 摸鱼人的福星",好兄弟，求内推，我想进去看动漫打麻将，工资3500我真诚求推荐,有无内推，急急急,尊嘟假嘟为什么搜不到官网哦,求内推,,,,,,,,,,,,,,,,,,,,,
江西神舟,搞等保的，没啥技术适合混,<乐,,什么报告,,,护网的时候吗,强网杯江西省第一，但是实际菜的一批,,,,,,,,,,,,,,,,,,
华卫云天,穷，青岛小公司，有点玩不起,,,,,,,,,,,,,,,,,,,,,,,,,
"魅族安全

BJCA",无魅友，不魅族,,,,,,,,,,,,,,,,,,,,,,,,,
极安云科,培训讲师待遇不错,听说老板挺帅,吊毛老师上课抽烟，但讲的都是干货,吊毛吊毛哥,,,,,,,,,,,,,,,,,,,,,,
